,att_id,att_name,att_cat,att_price,score
615,1355,ultimate_day_tour_to_victoria,tours_&_sightseeing,363.56,5.0
5,6,whistler_small-group_day_trip_from_vancouver,featured_tours_and_tickets,145.0,4.571333658371598
212,428,ultimate_day_tour_to_victoria,day_trips_&_excursions,363.56,4.307400554457058
574,1303,vancouver_city_sightseeing_tour,tours_&_sightseeing,80.0,4.007038079824569
1181,2609,ultimate_day_tour_to_victoria,luxury_&_special_occasions,363.56,3.043679343208315
1455,3470,whistler_sasquatch_zipline,recommended_experiences,135.45,2.8510447146034084
1376,3377,ultimate_day_tour_to_victoria,recommended_experiences,363.56,2.391523392638563
1400,3404,stanley_park_horse-drawn_tours,recommended_experiences,42.0,2.058362964757673
579,1310,"best_of_niagara_falls_tour_from_niagara_falls,_ontario",tours_&_sightseeing,158.0,1.9297414858712973
909,2025,little_italy_walking_food_tour_in_vancouver,walking_&_biking_tours,73.0,1.8598365167316264
0,0,vancouver_city_sightseeing_tour,featured_tours_and_tickets,80.0,1.8286789182727197
398,887,ultimate_day_tour_to_victoria,sightseeing_tickets_&_passes,363.56,1.7286723142132483
1056,2258,niagara_falls_helicopter_tour,family_friendly,145.0,1.6855663283148774
470,1081,2_hour_banff_horseback_riding_adventure,outdoor_activities,124.95,1.6757167026939175
696,1571,niagara_falls_canada_tour_from_niagara_usa,tours_&_sightseeing,156.71,1.5885763972369085
76,135,summer_whale_watching_on_vancouver_island,"cruises,_sailing_&_water_tours",145.95,1.5212403908232417
1046,2247,niagara_falls_day_and_evening_tour_with_boat_cruise_and_optional_fallsview_dinner,family_friendly,169.0,1.4787853538771165
276,583,niagara_falls_one_day_sightseeing_tour_from_toronto,"food,_wine_&_nightlife",99.0,1.4354967000002923
862,1931,ultimate_day_tour_to_victoria,walking_&_biking_tours,363.56,1.3906376317761755
1042,2243,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,family_friendly,57.5,1.29739047432279
1101,2419,ottawa_river_historic_sightseeing_cruise,family_friendly,28.0,1.2896995855923392
587,1323,niagara_on_the_lake_wine_tour_with_cheese_pairing,tours_&_sightseeing,83.62,1.2274374154150176
955,2088,ultimate_day_tour_to_victoria,water_sports,363.56,1.1860877117319049
1323,3321,vancouver_highlights_bike_tour,recommended_experiences,94.45,1.1597679805141543
1178,2606,niagara_falls_helicopter_tour,luxury_&_special_occasions,145.0,1.103295964696892
